mens,Arvid De Kleijn,NED,TUD,4,6,210
mens,Asbjørn Hellemose,DEN,JAY,1,1,0
mens,Asier Etxeberria,ESP,PIT,1,1,0
mens,Atsushi Oka,JPN,ABZ,1,1,0
mens,Attila Valter,HUN,TBV,1,5,0
mens,Attilio Viviani,ITA,TFT,1,1,0
mens,Aubin Sparfel,FRA,DCD,1,0,0
mens,Aurélien Paret-Peintre,FRA,DCT,3,4,265
mens,Axandre Van Petegem,BEL,TIS,1,1,0
mens,Axel Huens,FRA,GFC,1,1,60
mens,Axel Laurance,FRA,IGD,3,2,210
mens,Axel Mariault,FRA,CIC,1,1,60
mens,Axel van der Tuuk,NED,EUS,1,0,40
mens,Axel Zingle,FRA,TVL,6,10,93
mens,Ayco Bastiaens,BEL,SOQ,1,1,0
mens,Bailey McDonald,AUS,TNN,1,1,0
mens,Bailey O'Donnell,NZL,NZP,1,1,0
mens,Balazs Rozsa,HUN,XYZ,1,1,0
mens,Bálint Feldhoffer,HUN,BVD,1,0,0
mens,Bálint Makrai,HUN,MBH,1,0,0
mens,Baptiste Grégoire,FRA,CGF,1,0,0
mens,Baptiste Huyet,FRA,BAI,1,1,0
mens,Baptiste Lecoq,FRA,TUU,1,0,0
mens,Baptiste Planckaert,BEL,ZZZ,1,1,0
mens,Baptiste Vadic,FRA,TEN,1,1,90
mens,Baptiste Veistroffer,FRA,LOI,1,1,0
mens,Barnabas Peak,HUN,MBH,1,1,0
mens,Barry Ashlin,USA,VLD,1,0,0
mens,Bart Lemmen,NED,TVL,2,4,168
mens,Bastien Tronchon,FRA,GFC,3,1,285
mens,Bauke Mollema,NED,LTK,2,4,210
mens,Ben Dyball,AUS,FNX,1,1,0
mens,Ben Granger,GBR,TFT,1,0,0
mens,Ben Healy,IRL,EFE,14,8,1550
mens,Ben Morin,CAN,ICA,1,0,0
mens,Ben O'Connor,AUS,JAY,10,18,486
mens,Ben Oliver,NZL,MAP,1,0,0
mens,Ben Swift,GBR,IGD,1,1,160
mens,Ben Tulett,GBR,TVL,12,1,980
mens,Ben Turner,GBR,IGD,4,1,343
mens,Ben Wiggins,GBR,HBG,1,0,0
mens,Ben Zwiehoff,GER,RBH,2,1,148
mens,Benedikt Benz,GER,LTF,1,0,0
mens,Benjamin Thomas,FRA,COF,3,1,285
mens,Benoit Cosnefroy,FRA,UAD,8,12,300
mens,Bert Van Lerberghe,BEL,SOQ,1,1,0
mens,Biniam Girmay,ERI,NSN,12,20,940
mens,Bjoern Koerdt,GBR,TPP,1,1,0
mens,Blake Agnoletto,AUS,CGF,1,0,0
mens,Blake Quick,AUS,FNX,1,1,0
mens,Bob Jungels,LUX,IGD,1,1,128
mens,Braden Reitz,USA,DCD,1,0,0
mens,Brady Gilmore,AUS,NSN,1,0,0
mens,Bram Welten,NED,TPP,1,1,0
mens,Brandon Alejandro Rojas,COL,GES,1,1,0
mens,Brandon McNulty,USA,UAD,14,14,1370
mens,Brandon Smith Rivera,COL,IGD,1,3,23
mens,Brayan Sanchez,COL,MED,1,1,0
mens,Brem Deman,BEL,TFB,1,1,0
mens,Brendan Rhim,USA,PEC,1,1,0
mens,Brent Van Moer,BEL,PQT,3,1,300
mens,Brieuc Rolland,FRA,GFC,1,1,130
mens,Brody McDonald,USA,MAP,1,0,0
mens,Bruno Armirail,FRA,TVL,6,2,578
mens,Bruno Kessler,GER,TUU,1,0,0
mens,Bryan Coquard,FRA,COF,2,1,170
mens,Byron Munton,ZAF,MAP,1,0,0
mens,Caleb Ewan,AUS,ZZZ,1,5,90
mens,Callum Scotson,AUS,DCT,1,1,0
mens,Callum Thornley,GBR,RBH,1,0,0
mens,Calum Johnston,GBR,LNS,1,1,0
mens,Cameron Mason,GBR,APD,1,1,0
mens,Cameron Rogers,AUS,IGA,1,1,20
mens,Cameron Scott,AUS,LNS,1,1,0
mens,Camille Charret,FRA,COF,1,0,0
mens,Campbell Stewart,NZL,XYZ,1,1,0
mens,Carl Emil Just Pederesen,DEN,HBG,1,0,0
mens,Carl-Frederik Bévort,DEN,UXM,1,1,35
mens,Carlos Canal,ESP,MOV,3,1,345
mens,Carlos García Pierna,ESP,BBH,1,1,60
mens,Carlos Rodriguez,ESP,IGD,8,14,220
mens,Carlos Samudio,PAN,TFT,1,1,0
mens,Carlos Verona,ESP,LTK,1,1,108
mens,Carter Bettles,AUS,ROI,1,1,0
mens,Casper Pedersen,DEN,SOQ,1,1,160
mens,Casper van Uden,NED,TPP,2,3,140
mens,Cédric Beullens,BEL,LOI,2,1,0
mens,Cedric Keppens,BEL,VLD,1,0,0
mens,Cedrik Bakke Christophersen,NOR,URR,1,1,60
mens,Cees Bol,NED,DCT,2,3,210
mens,Célestin Guillon,FRA,XYZ,1,1,0
mens,Célestin Wattelle,FRA,TNN,1,1,0
mens,Cériel Desal,BEL,SQD,1,1,0
mens,Cesar Fonte,POR,ZZZ,1,1,0
mens,César Macías,MEX,BBH,1,0,0
mens,César Pérez,ESP,EKP,1,0,0
mens,Cesare Chesini,ITA,MBH,1,0,0
mens,Charles Paige,GBR,BAC,1,1,0
mens,Chris Fontecchio,USA,HUS,1,1,0
mens,Chris Froome,GBR,XYZ,1,1,0
mens,Chris Hamilton,AUS,TPP,1,1,0
mens,Chris Harper,AUS,PQT,1,2,100
mens,Christiaan van Rees,NED,DPP,1,0,0
mens,Christian Bagatin,ITA,MBH,1,0,0
mens,Christian Scaroni,ITA,XAT,12,2,1350
mens,Christophe Laporte,FRA,TVL,10,12,480
mens,Christophe Noppe,BEL,XYZ,1,1,0
mens,Christopher Juul Jensen,DEN,JAY,1,1,0
mens,Chun Kai Feng,TPE,ABZ,1,1,0
mens,Cian Uijtdebroeks,BEL,MOV,8,2,770
mens,Clément Alleno,FRA,BBH,1,1,15
mens,Clément Berthet,FRA,GFC,3,4,210
mens,Clément Braz Afonso,FRA,GFC,1,1,40
mens,Clément Champoussin,FRA,XAT,6,6,645
mens,Clément Davy,FRA,NMC,1,1,0
mens,Clément Izquierdo,FRA,COF,1,1,60
mens,Clement Russo,FRA,GFC,1,1,40
mens,Clément Sanchez,FRA,VDU,1,0,0
mens,Clement Venturini,FRA,URR,4,6,380
